chapter,section_number,section_title,text,
5,9,The Pseudo Guru Javhar Ali,"Five years after the wrestling bout above-mentioned, one Fakir
from Ahmednagar, by name Javhar Ali, came to Rahata with his disciples
and stayed in Bakhal (spacious room) near Virabhadra temple. The
Fakir was learned, could repeat the whole Quran and had a sweet
tongue. Many religious and devout people of the village came to him
and began to respect him. With the help of the people, he started to
build an Idgah (a walled enclosure, in which Mohammedens pray on
Id day), near the Virabhadra temple. There was some quarrel about this
affair, on account of which Javhar Ali had to leave Rahata. Then, he
came to Shirdi and lived in the Masjid with Baba. People were captured
by his sweet talk, and he began to call Baba his disciple. Baba did not
object and consented to be his Chela (disciple). Then, both Guru and
Chela decided to return to Rahata and live there. The Guru (teacher)
never knew his Disciple’s worth, but the Disciple knew the shortcomings
of the Guru, still He never disrespected him, observing carefully his
duties. He even served the master in various ways. They used to come
to Shirdi off and on, but their main stay was in Rahata. The loving
devotees of Baba in Shirdi did not like that Baba should stay away from
them in Rahata. So they went in a deputation to bring Baba back to
Shirdi. When they met Baba near the Idgah and told the purpose for
which they came, Baba said to them that the Fakir was an angry, illtempered
fellow, he would not leave Him and that, they should better
go back to Shirdi without Him before the Fakir returned. While they
were thus talking, the Fakir turned up and was very angry with them
for trying to take away his Disciple. There was some hot discussion and
altercation, and it was finally decided that both the Guru and Chela
should return to Shirdi. And so, they returned and lived in Shirdi. But,
after a few days, the Guru was tested by Devidas and he was found
wanting. Twelve years before Baba arrived in Shirdi with the marriageparty,
this Devidas, aged about 10 or 11 years, came to Shirdi and lived
in the Maruti temple. Devidas had fine features and brilliant eyes, and
he was dispassion incarnate and a Dhyani1. Many people, namely
Tatya Kote, Kashinath and others regarded him as their Guru. They
brought Javhar Ali in his presence, and in the discussion that followed,
Javhar was worsted and fled from Shirdi. He went and stayed in
Bijapur and returned after many years to Shirdi, and prostrated himself
before Sai Baba. The delusion, that, he was Guru and Sai Baba, his
Chela, was cleared away and as he repented, Sai Baba treated him with
respect. In this case Sai Baba showed by His conduct, how one should
get rid of egoism and do the duties of a disciple to attain the highest
end, viz., self-realization. This story is told here according to the version
given by Mhalsapati (a great devotee of Baba).
In the next chapter Ram Navami Festival, the Masjid, its former
condition and later improvement in it etc. will be described.
Bow to Shri Sai – Peace be to all",
6,1,Ram Navami Festival and Masjid Repairs,"Before describing Ram Navami Festival and Masjid repairs, the
author makes some preliminary remarks about Sadguru as follows :",
6,2,Efficacy of the Touch of the Guru's Hand,,"When Sadguru is the helmsman he is sure to carry us safely and
easily beyond the worldly ocean. The word Sadguru brings to mind Sai
Baba, the Perfect Master. He appears to me, as if standing before me and
applying Udi (sacred ashes) to my forehead and placing his hand of
blessing on my head. Then joy fills my heart and love overflows my
eyes. Wonderful is the power of the touch of Guru’s hand. The subtlebody
(consisting of thoughts and desires) which cannot be burnt by the
gross fire, is destroyed by the mere touch of the Guru’s hand, and the
sins of many past births are cleaned and washed away. Even the
speech of those, who feel agitated, when they hear religious and Godly
talks, attain calmness. The sight of Sai Baba’s handsome form chokes
our throat with joy, makes the eyes overflow with tears and overwhelms
the heart with emotions. It awakens in us “I am He” (Soham) Brahma
consciousness, manifests the joy of self-realization and dissolving the
distinction of I and Thou, makes us one with the Supreme (One Reality).
When I begin to read scriptures, at every step I am reminded of my
Sadguru, Sai Baba, Who assumes the form of Rama or Krishna and
makes me listen to His Life. For instance, when I sit to listen to Bhagwat,
Sai becomes Krishna from top to toe, and I think He sings the Bhagwat
or Uddhav Gita (song of teachings by Lord Shri Krishna to His disciple,
Uddhav) for the welfare of the devotees. When I myself start to write
anything, I cannot compose a few words or sentences; but when He of
His own accord makes me write, I go on writing... and there is no end
to it. When the disciple’s egoism props up, He presses it down with His
hand and gives him His own power, makes him achieve His object and
thus, satisfies and blesses him. If any one prostrates before Sai and
surrenders his heart and soul to Him, then all the chief objects of life,
viz., Dharma (righteousness), Artha (wealth), Kama (Desire) and
Moksha (Deliverance), are attained easily and unsolicitedly. Four paths,
viz., of Karma, Dnyan, Yoga and Bhakti lead us separately to God. Of
these, the path of Bhakti is thorny and full of pits and ditches and thus,
difficult to traverse; but if you, relying on your Sadguru avoid the pits
and thorns and walk straight, it will take you to your destination (God),
so says Sai Baba.
After philosophising about the self-existent Brahma, His power
(Maya) to create this world and the world created, and stating that all
these three are ultimately one and the same, the author quotes Sai
Baba’s words guaranteeing the welfare of the Bhaktas :
“There will never be any dearth or scarcity, regarding food and
clothes in My devotee’s home. It is my special characteristic, that I
always look to and provide for, the welfare of those devotees, who
worship Me whole-heartedly with their minds ever fixed on Me. Lord
Krishna has also said the same in the Gita. Therefore strive not much
for food and clothes. If you want anything, beg of the Lord, renounce
worldly honours, try to get Lord’s grace and blessings and be honoured
in His court. Do not be deluded by worldly honour. The form of the
Deity should be firmly fixed in the mind. Let all the senses and mind
be ever devoted to the worship of the Lord, let there be no attraction for
any other thing. Fix the mind in remembering Me always, so that it will
not wander elsewhere, towards body, wealth and home. Then it will be
calm, peaceful and care-free. This is the sign of the mind being well
engaged in good company. If the mind is vagrant, it cannot be called
well-merged in Him.”
After quoting these words, the author goes on to relate the story
of Ram Navami festival in Shirdi. As Ram Navami is the most celebrated
festival at Shirdi, another fuller account, as published in Sri Sai Leela
Magazine of 1925, page 197, is also referred to and a summary of the
festival, as related in both these accounts is attempted here."
6,3,Origin of the Ram Navami Festival,"One Mr. Gopalrao Gund, was a surveyor in Survey dept. at
Kopergaon. He was a great devotee of Baba. He had three wives but had
no issue. With Sai Baba’s blessings, a son was born to him. In the joy
that he felt due to this, an idea of celebrating a fair or ‘Urus’1 occurred
to him in the year 1897, and he placed it for consideration before other
Shirdi devotees, viz. Tatya Patil, Dada Kote Patil and Madhavrao
Deshpande (Shama). They all approved of the idea, and obtained Sai
Baba’s permission and blessings for it. Then an application was made
to get the Collector’s2 sanction for celebrating the Urus, but as the
village Kulkarni held against holding the fair the sanction was refused.
But, as Sai Baba had blessed it, they tried again and ultimately succeeded
in getting the Collector’s sanction. The day for the Urus was fixed on
Ram Navami, after having consultation with Sai Baba. It seems He had
some purpose behind this, viz. the unification of the two festivals, the
Urus and the Ram Navami and the unification of the two communities
– the Hindus and the Mohammedens. As future events showed, this
end or object was duly achieved.
Though the permission was obtained, but other difficulties cropped
up. Shirdi was a village and there was scarcity of water. There were two
wells in the village, the one in use dried up soon and the water from
the second was brackish. This brackish water was turned into sweet
water by Sai Baba, by putting flowers into it. As the water of this well
was insufficient, so Tatya Patil had to arrange to get water from outside.
Temporary shops were to be constructed and wrestling bouts arranged.
Gopalrao Gund had a friend by name Damu Anna Kasar of Ahmednagar.
He also was similarly unhappy in the matter of progeny, though he had
two wives. He too was blessed by Sai Baba with sons and Mr. Gund
prevailed upon his friend to prepare and supply one flag for the
procession of the fair. He also succeeded in inducing Mr. Nanasaheb
Nimonkar to supply another flag. Both these flags were taken in
procession through the village and finally, fixed at the two corners of
the Masjid, which is called by Sai Baba as ‘Dwarkamai’. This is being
done even now.",
6,4,The 'Sandal' Procession,"There was another procession which was started in this fair. The
idea of ‘Sandal’ procession originated with one Mr. Amir Shakkar
Dalal, a Mohammeden Bhakta from Korhla. This procession is held in
honour of great Muslim Saints. Sandal i.e. Chandan paste and scrappings
are put in the Thali (flat dishes) with incense burning before them and
carried in procession to the accompaniment of band and music through
the village and then, after returning to the Masjid, the contents of the
dishes are thrown on the ‘Nimbar’ (niche) and walls of the Masjid. This
work was managed by Mr. Amir Shakkar for the first three years and
then afterwards, by his wife. So, on the same day the two processions,
the ‘Flags’ by the Hindus and ‘Sandal’ by the Muslims, went on side
by side and are still going on without any problem.",
6,5,Arrangement of the Ram Navami Festival,"This day was very dear and sacred to the devotees of Sai Baba.
Most of them turned up for the occasion and took part in the management
of the fair. Tatya Kote Patil looked to all outward affairs, while the
internal management was entirely left to Radhakrishnamai, a female
devotee of Baba. Her residence was full of guests on the occasion, and
she had to look after their needs, and also arrange for all the
paraphernalia of the fair. Another work, which she willingly did, was
to clean and white-wash the entire Masjid, its walls and floor, which
were blackened and were full of soot on account of the perpetual Dhuni
(sacred fire) of Sai Baba. This she did during the night, when Sai Baba
had gone to sleep every alternate night in the Chavadi. She had to take
out all the things, including the Dhuni, and after thorough cleaning
and white-washing replace them, as they were before. Feeding the poor,
which was so dear to Sai Baba, was also a important item in this fair.
For this purpose, cooking on a grand scale and preparing various sweet
dishes, was done in Radhakrishnamai’s lodging, and various rich and
wealthy devotees took a leading part in this.",
6,6,Transformation of Urus into Ram Navami Festival,"Things were going on in this way and the fair was gradually
increasing in importance till 1912, when a change took place. That year
one devotee, Mr. Krishnarao Jogeshwar Bhishm (the author of ‘Sai
Sagunopasana’), came for the fair with Dadasaheb Khaparde of
Amaravati and was staying (on the previous day) in the Dixit Wada.
While he was lying in the verandah, and while Mr. Laxmanrao alias
Kaka Mahajani was going with Puja materials to the Masjid, a thought
arose in his mind and he accosted the latter thus – There is some
providential arrangement in the fact that the Urus or fair is celebrated
in Shirdi on Ram Navami; Ram Navami is very dear to all the Hindus,
then why not begin the Ram Navami festival – the celebration of the
birth of Shri Ram on this day here? Kaka Mahajani liked the idea, and
it was arranged to get Baba’s permission in this matter. The main
difficulty was how to secure a Haridas who would do ‘Kirtan’ and sing
the glories of the Lord on the occasion. But, Bhishm solved the difficulty
by saying that his ‘Ram Akhyan’, the composition on Rama’s birth was
ready and he would do the ‘Kirtan’ himself, while Kaka Mahajani
should play on the harmonium. It was also arranged to get the
‘Sunthavada’ (ginger-powder mixed with sugar) as Prasad, prepared
by Radhakrishnamai. So they immediately went to the Masjid to get
Baba’s permission. Baba Who knew everything and aware of what was
happening there, asked Mahajani, as to what was going on in the
Wada. Being rather perturbed Mahajani could not catch the purport of
the question and remained silent. Then Baba asked Bhishm what he
had to say. He explained the idea of celebrating Ram Navami festival
and asked for Baba’s permission and Baba gladly gave it. All rejoiced
and made preparations for the Jayanti1-festival. Next day the Masjid
was decorated with buntings etc., a cradle was supplied by
Radhakrishnamai and placed in front of Baba’s seat and the proceedings
started. Bhishm stood up for Kirtan and Mahajani began to play on the
harmonium. Sai Baba sent a man to call Mahajani. He was hesitating
to go, doubtful whether Baba would allow the festival to go on but
when he went to Baba, the latter asked him as to what was going on
and why the cradle was placed there. He asnwered that the Ram
Navami festival had commenced and the cradle was put out for that
purpose. Then Baba took a garland from the ‘Nimbar’ (niche) and
placed it round his neck and sent another garland for Bhishm. Then the
Kirtan commenced. When it came to a close, loud sounds of “Victory
to Ram” went up and Gulal (colour-powder) was thrown up all around,
amidst band and music. Everybody was overjoyed, when suddenly a
roar was heard. The red-powder thrown promiscuously, went up and
somehow fell into Baba’s eyes. Baba got wild and began to scold and
abuse loudly. People got frightened and took to their heels. The intimate
devotees who knew Baba well, took these scoldings and outpourings of
Baba, as blessings in disguise. They thought that when Ram was born,
it was proper for Baba to get wild and enraged to kill Ravan and his
demons, in the form of egoism and wicked thoughts etc. Besides they
knew that, whenever a new thing was undertaken at Shirdi, it was
usual with Baba to get wild and angry and so they kept quiet.
Radhakrishnamai was rather afraid and thought that Baba might break
her cradle and she asked Mahajani to pull the cradle back. When he
went to loosen and unfasten the cradle, Baba went to him and asked
him not to remove it. Then after some time Baba became calm and that
day’s programme, including Mahapuja and Arati was finished. Later
on Mr. Mahajani asked Baba for permission to remove the cradle, Baba
refused the same saying that, the festival was not yet over. Next day
another ‘Kirtan’ and Gopal-kala ceremony [an earthern pot containing
parched rice mixed with curd is hung, to be broken after the ‘Kirtan’,
and the contents distributed to all, as was done by Lord Krishna
amongst His cow-herd (friends)], was performed and then, Baba allowed
the cradle to be removed. While the Ram Navami festival was thus
going on, the procession of the two flags by day and that of the ‘Sandal’
by night, went off with the usual pomp and show. From this time
onwards, the ‘Urus of Baba’ was transformed into the Ram Navami
festival.
From next year (1913), the items in the programme of Ram Navami
began to increase. Radhakrishnamai started a ‘Naam-saptah’ (singing
the glory of God’s name continuously day and night for seven days),
from (eleventh) day of Chaitra. For this all devotees took part by turns
and she also joined it sometimes early in the morning. As Ram Navami
festival is celebrated in many places all over the country, the difficulty
of getting a Haridas was felt again. But 5 or 6 days before the festival,
Mahajani incidentally met Balabua who was known as modern Tukaram
and got him to do the ‘Kirtan’ that year. The next year (1914), another
Balabua Satarkar of Birhad Siddha-kavathe, district Satara, could not
act as a Haridas in his own town, as plague was prevailing there and
so he came to Shirdi. With Baba’s permission, which was secured
through Kakasaheb Dixit, he did the Kirtan and was sufficiently
recompensed for his labour. The difficulty of getting a new Haridas
every year was finally solved from 1914 by Sai Baba, as He entrusted
this function to Das Ganu Maharaj permanently and since that time he
has been successfully and creditably conducting that function until
now.
Since 1912, this festival began to grow gradually year by year.
From the 8th to 12th of Chaitra, Shirdi looked like a bee-hive of men.
Shops began to increase. Celebrated wrestlers took part in wrestling
bouts. Feeding of the poor was done on a grander scale. Hard work and
sincere efforts of Radhakrishnamai turned Shirdi into a Sansthan. (State)
Paraphernalia increased. A beautiful horse, a palanquin, chariot and
many silver items, utensils, pots, buckets, pictures, mirrors etc. were
presented. Elephants were also sent for the procession. Though, all this
paraphernalia increased enormously, Sai Baba ignored all these things
and maintained His simplicity and modesty as before. It is to be noted
that both the Hindus and Mohammedens have been working in unison,
in both the processions during the entire festival, and there has been no
confrontation or quarrel between them at all so far. First about 5000-
7000 people used to gather, but that figure went up to 75,000 in some
years, still, there was no outbreak of any epidemic disease nor any riots
worth the name during past so many years.",
6,7,Repairs to the Masjid,"Another important idea occurred to Gopal Gund. Just as he started
the Urus or fair, he thought that he should repair and renovate the
Masjid. So in order to carry out the repairs, he collected stones and got
them dressed. But this work was not assigned to him. This was reserved
for Nanasaheb Chandorkar and the pavement-work for Kakasaheb Dixit.
Initially Baba was unwilling to allow them to have work done, but with
the intervention of Mhalsapati, a local devotee of Baba, His permission
was secured. Baba took a small Gadi for His seat, discarding the usual
piece of sack-cloth, used till then. In 1911, the Sabha Mandap (courtyard)
was also put in order with great labour and effort. The open space
in front of the Masjid was very small and inconvenient. Kakasaheb
Dixit wanted to extend it and put a roofing on it. At great expense, he
got iron-posts, pillars and trusses and started the work. At night all the
devotees worked hard and fixed the posts; but Baba when he returned
from Chavadi next morning, uprooted them all and threw them out.
Once it so happened that Baba got very excited, caught a pole with one
hand and began to shake and uproot it and with the other hand caught
Tatya Patil's neck. He took by force Tatya’s Pheta, struck a match, set
it on fire and threw it, in a pit. At that time, Baba’s eyes flashed like
burning embers. None dared to look at Him. All got terribly frightened.
Baba took out a rupee from his pocket and threw it there, as if it were
an offering on an auspicious occasion. Tatya was also much frightened.
None knew, what was going to happen to Tatya and none dared to
interfere. Bhagoji Shinde, the leper devotee of Baba, made a bold advance,
but he was pushed aside by Baba. Madhavrao was also similarly
treated, pelted with brick-pieces. So all those who went to intercede
were similarly dealt with. But, after some time, Baba’s anger cooled
down. He sent for a shop-keeper, got from him an embroidered Pheta
and Himself tied it on Tatya’s head, as if he was being given a special
honour. All the people were wonderstruck to see this strange behaviour
of Baba. They were at a loss to know, what enraged Baba so suddenly
and what led Him to assault Tatya Patil, and why His anger cooled
down the next moment. Baba was sometimes very calm and quiet and
talked sweet things with love, but suddenly, with or without any reason,
got enraged. Many such incidents may be related; but I do not know
which to choose and which to omit. I therefore, refer them as they occur
to me.
In the next chapter the question, whether Baba was a Hindu or a
Mohammeden will be taken up and His Yogic practices and powers
and other matters will also be dealt with.
Bow to Shri Sai Baba – Peace be to all",
7,1,Wonderful Incarnation,"Sai Baba knew all Yogic practices. He was well-versed in the six
processes including Dhauti (stomach-cleaning, by a moistened piece of
linen 3' in breadth and 22½' in length), Khandayog, i.e. separating His
limbs and joining them again and Samadhi etc. If you thought that He
was a Hindu, He looked like a Yavan. If you thought Him to be a
Yavan, He looked like a pious Hindu. No one definitely knew whether
He was a Hindu or a Mohammeden. He celebrated the Hindu festival
of Ram Navami with all due formalities, and at the same time permitted
the ‘Sandal’ procession of the Mohammedens. He encouraged wrestling
bouts in this festival. When the Gokul Ashtami came, He got the ‘Gopalkala’
ceremony duly performed, and on Id festivals, He allowed the
Mohammedens, to say their prayers (Namaz) in His Masjid. Once,
during a Moharrum festival, some Mohammedens proposed to construct
a Taziya or Tabut in the Masjid, keep it there for some days and
afterwards take it in procession through village. Sai Baba allowed the
keeping of the Tabut for four days and on the fifth day got it removed
from the Masjid, without the least compunction. If we say that He was
a Mohammeden, His ears were pierced (i.e. had holes, according to
Hindu custom). If you think that He was a Hindu, He advocated the
practice of circumcision (though, according to Mr. Nanasaheb
Chandorkar, who observed Him closely, He was not Himself circumcised.
Vide article in Sai Leela on “Baba Hindu ki Yavan”, by B.V. Dev, page
562). If you call Him Hindu, He always lived in the Masjid; if
Mohammeden, He had always the Dhuni-sacred fire there, and the
following things, which are contrary to Mohammeden religion, i.e.,
grinding on the handmill, blowing of the conch and bells, oblation in
the fire, Bhajan, giving of food and worship of Baba’s Feet by means of
Arghya (water), were allowed there. If you think that He was a
Mohammeden, the best of Brahmins and Agnihotris, leaving aside their
orthodox ways, fell prostrate at His Feet. Those who went to make
enquiries about His caste, were dumb-founded and were captured by
His darshan. So, none could definitely decide, whether Sai Baba was
a Hindu or a Mohammeden*. This is no wonder for he who completely
surrenders himself to the Lord, by getting rid of his egoism and bodyconsciousness,
thus becomes one with Him, and has nothing to do with
any questions of caste or nationality. Baba saw no difference between
any two castes and even between beings. He took meat and fish with
Fakirs but did not grumble, when dogs touched the dishes with their
mouths.
Such a unique and wonderful incarnation was Sai Baba. On
account of the merits in my past birth, I had the good fortune to sit at
His Feet and enjoy His blessed company. The joy and delight I derived
therefrom, was incomparable. In fact, Sai Baba was pure Anand and
consciousness. I cannot sufficiently describe Him, His greatness and
uniqueness. He who took delight at His Feet, was established in His
own self. Many Sanyaasis, Sadhaks and all sorts of men aspiring for
salvation came to Sai Baba. He always walked, talked and laughed
with them and always uttered “Allah Malik” (God is the sole owner).
He never liked discussion or disputation. He was always calm and
controlled, though irritable at times, always preached Vedanta and
nobody knew till the last, Who was Baba? Princes and poor people
were treated alike by Him. He knew the inmost secrets of all and when
He gave expression to them, all were surprised. He was the repository
of all knowledge, still He feigned ignorance. He also disliked honour.
Such were the characteristics of Sai Baba. Though He had a human
body, His deeds testified to His Godhood. All people considered Him
as the God in Shirdi.",
7,2,Behavior of Sai Baba,"Ignorant that I am, I cannot describe Baba’s miracles. He got
almost all the temples in Shirdi repaired. Through Tatya Patil, the
temples of Shani, Ganapati, Shankar-Parvati, Village Diety and Maruti
were put in order. His charity was also remarkable. The money He used
to collect as Dakshina, was freely distributed, Rs. 20 to some, Rs. 15 or
50 to others, every day. The recepients thought that this was 'pure'
charity money; and Baba wished that it should be usefully employed.
People benefitted immensely by having Baba’s darshan. Some
became hale and hearty, wicked people were turned into good ones.
Leprosy was cured in some cases, many got their desires fulfilled,
without any medicine being put in the eyes, some blind men got back
their sight and some lame ones got their limbs. Nobody could see the
end of His extraordinary greatness. His fame spread far and wide, and
pilgrims from all sides flocked to Shirdi. Baba had his ‘Asan’ near the
Dhuni and always rested there. He sat there in meditation, sometimes
without a bath.
He used to tie a small white turban on His head and wear a clean
Dhotar round His waist, and a shirt on His body. This was His attire in
the beginning. He first practised medicine in the village, He examined
patients and gave medicines. He was always successful and He became
famous as a Hakim (doctor). A curious case may be narrated here. One
devotee had his eyes quite red and swollen. No doctor was available in
Shirdi. The other devotees took him to Baba. In such cases other doctors
would use ointments, Anjans, cow’s milk and camphorated drugs etc.
Baba’s remedy was quite unique. He pounded some ‘Beeba’ (some Carpus
Ana Cardium, i.e. marking nuts) and made two balls of them and thrust
them on in each eye of the patient and wrapped a cloth – bandage round
them. Next day the bandage was removed and water was poured over
them. The inflammation subsided and the pupils became white and clear.
Though, the eyes are very delicate, the Beeba caused no hurt but removed
the disease of the eyes. Many such cases were cured, this is only one
instance in this regard.",
7,3,Baba's Yogic Practices,"Baba knew all the processes and practices of Yoga. Two of them
will be described here :
(1) DHAUTI KRIYA or CLEANSING PROCESS : Every third day,
Baba went to the well near Banyan tree, at a considerable distance from
the Masjid washed His mouth and had a bath. On one occasion, He
was seen throwing up His intestines, clean them inside outside and
place them on a Jamb tree for drying. There are people in Shirdi, who
have actually seen this and who have testified to this fact. Ordinary
Dhauti is done by a moistened piece of linen, 3 inches broad 22½ ft.
long. This piece is gulped down the throat and allowed to remain in
the stomach for about half an hour for being reacted there and then
taken out. But Baba’s Dhauti was quite unique and extraordinary. (2)
KHANDA YOGA : In this practice Baba extracted the limbs from His
body and left them separately at different places in the Masjid. Once a
gentleman went to the Masjid and saw the limbs of Baba lying in
separate places. He was terrified, he first thought of running to the
village officers and informing them of Baba being hacked to pieces and
murdered. He thought that perhaps he would be held responsible, as
he was the first informant and knew something of the affair. So he kept
silent. But, next day, when he went to the Masjid, he was very much
surprised to see Baba, hale and hearty as before. He thought that what
he had seen the previous day, was only a dream.
Baba practised Yoga since His infancy and nobody knew or
guessed the proficiency He had attained in it. He charged no fees for
His cures, became renowned and famous by virtue of His merits, gave
health to many a poor and suffering person. This famous Doctor of
doctors cared not for His interests, but always worked for the good and
welfare of others, Himself suffering unbearable and terrible pain many
a time in the process. One such instance I will relate now, which will
show the all-pervasive and the most merciful character of Sai Baba.",
7,4,Baba's All-pervasiveness and Mercy,"In the year 1910, Baba was sitting near the Dhuni on Diwali and
warming Himself. He was putting fire-wood into the Dhuni, which was
burning brightly. A little later instead of pushing logs of wood, Baba
pushed His arm into the Dhuni, His arm was scorched and burnt. This
was noticed by the errand boy Madhav and also by Madhavrao
Deshpande (Shama). They, at once, ran to Baba and Madhavrao clasped
Baba, by His waist from behind and dragged Him forcibly backward
and asked, “Deva, why You done this?” Then Baba came to His senses
and replied, “The wife of a blacksmith at some distant place was
working the bellows of a furnace, her husband called her, forgetting
that her child was on her lap, she got up hastily and the child slipped
into the furnace. I immediately thrust My hand into the furnace and
saved the child. I do not mind My arm being burnt but, I am glad that
the life of the child is saved.”",
7,5,Leper Devotee's Service,"On hearing the news of Baba’s hand being burnt from (Shama)
Madhavrao Deshpande, Mr. Nanasaheb Chandorkar accompanied by
the famous doctor Parmanand of Mumbai with his medical outfit,
consisting of ointments, lint and bandages etc. rushed to Shirdi and
requested Baba to allow Dr. Parmanand to examine the arm and dress
the wound, caused by the burn. This was refused. Ever since the burnt
arm was dressed by Bhagoji Shinde, a leper devotee. His treatment
consisted in massaging the burnt part with Ghee1 and then, placing a
leaf over it and bandaging it tightly. Mr. Nanasaheb Chandorkar
solicited Baba many a time to unfasten the bandages, get the wound
examined, dressed and treated by Dr. Parmanand, with the object that
it may heal fast. Dr. Parmanand himself made similar requests but Baba
postponed it by saying that Allah was His Doctor and did not allow
His arm to be examined. Dr. Parmanand’s medicines were not exposed
to the air of Shirdi and they remained intact, but he had the good
fortune of getting a darshan of Baba. Bhagoji was allowed to treat the
hand daily. After some days, the arm healed and all were happy. Still
we do not know whether any trace of pain was left or not. Every
morning, Bhagoji went through his programme of untying the bandages,
massaging the arm with ghee and tightly bandaging it again. This went
on till Sai Baba’s Samadhi (death). Sai Baba a perfect Siddha as He was
did not really want this treatment, but out of love for His devotee, He
allowed the ‘Upasana’ – service of Bhagoji to go on uninterrupted all
along. When Baba started for Lendi, Bhagoji held an umbrella over Him
and accompanied Him. Every morning when Baba sat near the post
close to the Dhuni, Bhagoji was present and started his service. Bhagoji
was a sinner in his past birth. He was suffering from leprosy, his
fingers had shrunk, his body was full of pus and smelling badly.
Though outwardly he seemed so unfortunate, he was really very lucky
and happy, for he was the premier servant of Baba, and got the benefit
of His company.",
7,6,Master Khaparde's Plague Case,"I shall now relate another instance of Baba’s wonderful Leela.
Mrs. Khaparde, the wife of Mr. Dadasaheb Khaparde of Amaravati, was
staying at Shirdi with her young son for some days. One day the son
got high fever, which further developed into bubonic plague. The mother
was frightened and felt most uneasy. She thought of leaving the place
for Amaravati and went near Baba in the evening, when He was coming
near the Wada (now Samadhi Mandir) in His evening rounds, for
asking His permission. She informed Him in a trembling tone, that her
dear young son was down with plague. Baba spoke kindly and softly
to her, saying that the sky is beset with clouds; but they will melt and
pass off and everything will be smooth and clear. So saying He lifted
up His Kafni up to the waist and showed to all present, four fully
developed bubos, as big as eggs and added, “See, how I have to suffer
for My devotees, their difficulties are Mine.” Seeing this unique and
extraordinary deed (Leela), the people were convinced as to how the
saints suffer pains for their devotees. The hearts of the saints is softer
than wax, it is soft in and out as butter. They love their devotees without
any idea of gain, and regard them as their true relatives.",
7,7,Going to Pandharpur,"I shall now close this chapter, after relating a story illustrating
how Sai Baba loved His devotees and anticipated their wishes and
movements. Mr. Nanasaheb Chandorkar, who was a great devotee of
Baba, was Mamlatdar1 at Nandurbar in Khandesh. He got an order of
transfer to Pandharpur. His devotion to Sai Baba bore fruit, as he got
an order to go and stay at Pandharpur which is regarded as the
‘Bhuvaikuntha’ – Heaven on the earth. Nanasaheb had to take immediate
charge, so he left for the place without even writing or informing anybody
at Shirdi. He wanted to give a surprise visit at Shirdi – his Pandharpur,
see and salute his Vithoba (Baba) and then proceed further. Nobody
knew of Nanasaheb’s departure for Shirdi but Sai Baba knew all about
this, as His eyes were everywhere (omniscient). As soon as Nanasaheb
approached Nimgaon, a few miles from Shirdi, there was a stir in the
masjid at Shirdi. Baba was sitting and talking with Mhalsapati, Appa
Shinde and Kashiram, when He at once said, “Let us all four do some
Bhajan, the doors of Pandhari are open, let us sing merrily!” Then they
began to sing in chorus, the bhava of the song being “I have to go to
Pandharpur and I have to stay on there, for it is the house of my Lord.”
Baba sang and the devotees followed Him. After a shortwhile
Nanasaheb came there with his family, prostrated before Baba and
requested Him to accompany them to Pandharpur and stay with them
there. This solicitation was not necessary, as the devotees told Nanasaheb
that Baba was already in the mood of going to Pandharpur and staying
there. Hearing this Nanasaheb was moved and fell at Baba’s Feet. Then
after getting Baba’s permission, Udi (sacred ash) and blessings,
Nanasaheb left for Pandharpur.
There is no end to Baba’s stories; but let me now stop here,
reserving for the next chapter other topics, such as importance of human
life, Baba’s living on alms, Baijabai’s service and other stories.
Bow to Shri Sai – Peace be to all",
8,1,Introduction,"As hinted in the last chapter, Hemadpant now explains
at length in his preliminary remarks, the importance of
human birth and then proceeds to relate, how Sai Baba begged His
food; how Baijabai served Him; how He slept in the Masjid, with Tatya
Kote Patil and Mhalsapati and how He loved Khushalchand of Rahata.
",
8,2,Importance of Human Birth,"In this wonderful universe, God has created millions (84 lakhs1
according to Hindu shastra calculation) of creatures (including Gods,
demi-gods, insects, beasts and men) inhabiting heaven, hell, earth, ocean,
sky and other intermediate regions. Of these, those creatures or souls,
whose merits preponderate, go to heaven and live there till they enjoy
the fruits of their actions and when this is done, they are cast down;
while those souls, whose sins or demerits preponderate, go down to
hell and suffer the consequences of their misdeeds for as long as they
deserve it. When their merits and demerits balance each other, they are
born on earth as human beings and are given a chance to work out their
salvation. Ultimately, when their merits and demerits both are worked
out completely, they get their deliverance and become free. To put the
matter in a nutshell, souls get their birth or transmigration according
to their deeds and evolvement.",
